ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, ACC_X 3, ACC_Y 3, ACC_Z 3, ACC_X 4, ACC_Y 4, ACC_Z 4, Time[ms]
0.046876, -0.115238, 1.029572, 0.017090, 0.779076, -0.612079, 0.167486, 1.000030, 0.024903, 0.074709, -0.531266, 0.823511,  --- 496.726
0.046876, -0.115970, 1.035920, 0.015625, 0.778100, -0.619159, 0.156255, 0.997833, 0.020753, 0.073244, -0.530534, 0.822535,  --- 501.732
0.052980, -0.114994, 1.039338, 0.014893, 0.779564, -0.623310, 0.168950, 1.005401, 0.028077, 0.077395, -0.529557, 0.828150,  --- 505.727
0.049562, -0.116459, 1.026886, 0.015625, 0.780053, -0.613788, 0.164312, 1.002472, 0.024659, 0.076662, -0.541520, 0.815943,  --- 509.727
0.046876, -0.108646, 1.030305, 0.015625, 0.774926, -0.610370, 0.156255, 1.001251, 0.021973, 0.078372, -0.528580, -0.010498,  --- 513.731
0.046876, -0.104007, 1.031281, 0.000000, 0.783959, -0.620624, 0.172857, 0.998077, 0.032472, 0.078127, -0.531266, 0.819605,  --- 517.728
0.046876, -0.105472, 1.038361, 0.008301, 0.782983, -0.614032, 0.169195, 1.001007, 0.025391, 0.078616, -0.529069, 0.820826,  --- 522.727
0.046876, -0.106204, 1.037141, 0.015625, 0.785180, -0.619159, 0.171148, 1.001983, 0.027589, 0.088382, -0.528825, 0.816431,  --- 526.732
0.046876, -0.107181, 1.032746, 0.013916, 0.777367, -0.610370, 0.168706, 1.003204, 0.022706, 0.083254, -0.539079, 0.813501,  --- 531.728
0.053224, -0.106449, 1.036408, 0.016846, 0.788598, -0.618915, 0.171148, 0.996368, 0.030763, 0.091311, -0.536637, -0.003174,  --- 535.728
0.000000, -0.104495, 1.024689, 0.010743, 0.781762, -0.602069, 0.167974, 0.999786, 0.025880, 0.082278, -0.538102, 0.811060,  --- 539.729
0.050050, -0.112064, 1.041047, 0.014405, 0.785180, -0.624775, 0.174810, 1.000030, 0.030763, 0.092044, -0.531022, 0.821802,  --- 543.728
0.048341, -0.102298, 1.023224, 0.000000, 0.778344, -0.596698, 0.171880, 0.998809, 0.031007, 0.079592, -0.531266, 0.812036,  --- 548.726
0.046876, -0.107913, 1.033478, 0.015625, 0.790795, -0.619403, 0.173833, 0.998809, 0.024659, 0.079836, -0.530778, 0.818140,  --- 551.739
0.051759, -0.103519, 1.031281, 0.010010, 0.780785, -0.612567, 0.156255, 1.000763, 0.030518, 0.078127, -0.533463, 0.817407,  --- 555.726
0.042482, -0.105716, 1.029328, 0.016846, 0.783959, -0.618671, 0.171636, 0.995391, 0.039796, 0.077639, -0.527116, 0.804223,  --- 558.726
0.049806, -0.105228, 1.033967, 0.000000, 0.783471, -0.608417, 0.166509, 1.004913, 0.032228, 0.078127, -0.530778, 0.820093,  --- 561.728
0.051759, -0.113041, 1.037141, 0.013672, 0.780785, -0.615497, 0.171148, 0.999054, 0.026124, 0.079836, -0.530534, 0.812524,  --- 564.727
0.046876, -0.106204, 1.033967, 0.012452, 0.782006, -0.617694, 0.170904, 1.000030, 0.026368, 0.082278, -0.533707, 0.812769,  --- 568.729
0.046876, -0.104739, 1.035432, -0.012696, 0.786157, -0.610614, 0.015381, 0.996856, 0.032716, 0.078127, -0.528825, 0.817407,  --- 571.727
0.046876, -0.105716, 1.036164, 0.010743, 0.000244, -0.616474, 0.156255, 0.996612, 0.017090, 0.078372, -0.536393, 0.817896,  --- 575.728
0.047853, -0.111576, 1.034455, 0.015137, 0.778832, -0.620868, 0.168462, 1.000274, 0.022462, 0.081790, -0.529313, 0.821314,  --- 578.725
0.051271, -0.110843, 1.039338, 0.013428, 0.783227, -0.614520, 0.012696, 1.003692, 0.028321, 0.079104, -0.529313, 0.819605,  --- 583.726
0.046876, -0.116214, 1.029816, 0.000000, 0.780053, -0.621112, 0.168218, 1.002960, 0.011231, 0.062502, 0.013428, 0.823511,  --- 587.726
0.052492, -0.108402, 1.031525, 0.000000, 0.781762, -0.615985, 0.156255, 1.000274, 0.026612, 0.075930, -0.531998, 0.825709,  --- 590.729
0.052004, -0.114261, 1.033234, 0.019288, 0.786889, -0.617694, 0.156255, 1.000763, 0.024171, 0.062502, -0.533707, 0.821314,  --- 594.725
0.053713, -0.114505, 1.036164, 0.000000, 0.781274, -0.625995, 0.156255, 0.997345, 0.028321, 0.062502, -0.533952, 0.827418,  --- 598.726
0.051759, -0.113529, 1.032746, 0.013916, 0.775414, -0.620868, 0.156255, 0.998809, 0.019288, 0.076662, -0.534928, 0.821070,  --- 601.726
0.050783, -0.118412, 1.032990, 0.019288, 0.775658, -0.629413, 0.162847, 1.002472, 0.024171, 0.062502, -0.529801, 0.821314,  --- 605.726
0.055177, -0.115726, 1.026886, 0.017579, 0.778344, -0.624531, 0.164800, 1.005646, 0.002686, 0.077151, -0.531266, 0.827662,  --- 608.732
0.051027, -0.117191, 1.027131, 0.018799, 0.771019, -0.620136, 0.166021, 1.000763, 0.024903, 0.062502, -0.529069, 0.813501,  --- 612.727
0.000000, -0.118656, 1.033234, 0.001221, 0.778832, -0.624775, -0.002930, 1.000274, 0.020508, 0.078127, -0.532243, 0.823267,  --- 616.727
0.054689, -0.117191, 1.025910, 0.013916, 0.771996, -0.618671, 0.156255, 1.002716, 0.019532, 0.081301, -0.529801, 0.824488,  --- 619.726
0.049562, -0.115970, 1.030549, 0.012452, 0.779564, -0.622822, 0.156255, 0.999054, 0.023682, 0.070803, -0.527604, 0.806665,  --- 623.729
0.050539, -0.113041, 1.036652, 0.014893, 0.777611, -0.631855, 0.156255, 1.001251, 0.015381, 0.082522, -0.535661, 0.832545,  --- 627.728
0.046876, -0.113529, 1.030793, 0.014405, 0.775902, -0.621112, 0.164312, 0.995636, 0.018799, 0.062502, -0.533952, 0.815210,  --- 630.726
0.000000, -0.114505, 1.032746, 0.015381, 0.781274, -0.619648, 0.013428, 0.999298, 0.021485, 0.072512, -0.527604, 0.823999,  --- 634.726
0.046876, -0.105960, 1.024933, 0.000000, 0.780541, -0.620624, 0.163335, 1.006866, 0.019288, 0.062502, -0.533219, 0.816431,  --- 638.727
0.051027, -0.112064, 1.038606, 0.015381, 0.779076, -0.619892, 0.168218, 1.007599, 0.029786, 0.072024, -0.530534, 0.822535,  --- 642.732
0.046876, -0.108890, 1.028595, 0.000000, 0.781029, -0.613300, 0.171636, 0.998077, 0.030274, 0.078372, -0.531754, 0.831812,  --- 646.727
0.056398, -0.109867, 1.032990, 0.010254, 0.779809, -0.617206, 0.169195, 0.998809, 0.027100, 0.078127, -0.535905, 0.820826,  --- 649.725
0.046876, -0.113041, 1.032014, 0.012940, 0.785668, -0.621845, 0.170904, 1.005157, 0.022217, 0.079592, -0.527360, 0.821558,  --- 652.727
0.062441, -0.104984, 1.035676, 0.014649, 0.782006, -0.611102, 0.175054, 0.998077, 0.023194, -0.012207, -0.528825, 0.817652,  --- 655.726
0.046876, -0.109378, 1.036408, 0.013672, 0.781274, -0.615741, 0.169927, 1.000030, 0.021241, 0.082522, -0.533219, 0.818628,  --- 659.731
