ACC_X 0, ACC_Y 0, ACC_Z 0, Time[ms]
-0.015625, -0.191656, 1.012482,  --- 853.999
-0.003906, -0.189459, 1.013214,  --- 857.001
-0.015625, -0.190924, 1.018585,  --- 858.999
-0.005371, -0.190680, 1.014679,  --- 861.000
-0.005371, -0.191168, 1.023468,  --- 862.999
-0.015625, -0.195807, 1.020539,  --- 864.999
-0.015625, -0.193853, 1.012482,  --- 865.999
-0.005615, -0.176519, 1.016144,  --- 868.000
-0.003906, -0.190435, 1.025666,  --- 869.999
-0.015625, -0.190435, 1.023224,  --- 872.000
-0.015625, 0.013672, 1.012482,  --- 874.001
-0.006592, -0.188726, 1.018097,  --- 875.999
-0.007324, -0.185064, 1.021271,  --- 877.999
-0.015625, -0.198004, 1.025910,  --- 878.999
-0.008545, -0.190680, 1.021271,  --- 881.000
-0.015625, -0.188726, 1.025177,  --- 883.000
-0.006592, -0.188726, 1.020539,  --- 885.002
-0.015625, -0.191900, 1.012970,  --- 887.000
-0.015625, -0.190191, 1.022248,  --- 887.999
-0.006592, -0.187750, 1.017120,  --- 889.999
-0.015625, -0.183843, 1.026398,  --- 891.999
-0.015625, -0.188482, 1.024933,  --- 894.000
-0.007813, -0.182134, 1.023957,  --- 896.000
-0.015625, -0.185064, 1.026398,  --- 898.001
-0.015625, -0.184820, 1.016144,  --- 900.000
-0.015625, -0.187262, 1.028107,  --- 901.999
-0.007813, -0.187750, 1.024445,  --- 904.001
-0.015625, -0.188482, 1.024689,  --- 906.000
-0.015625, -0.186773, 1.029572,  --- 906.999
-0.015625, -0.187017, 1.022004,  --- 908.999
-0.006592, -0.186773, 1.016144,  --- 911.000
-0.015625, -0.188726, 1.021759,  --- 912.999
-0.006348, -0.191656, 1.018097,  --- 915.000
-0.015625, -0.188238, 1.028351,  --- 917.000
-0.015625, -0.188238, 1.021271,  --- 919.000
-0.005371, -0.188971, 1.025910,  --- 919.999
-0.015625, -0.190680, 1.022736,  --- 923.000
-0.007569, -0.191412, 1.024201,  --- 925.000
-0.008545, -0.203131, 1.017609,  --- 926.000
-0.015625, -0.192389, 1.015411,  --- 928.002
-0.015625, -0.194830, 1.014679,  --- 930.000
-0.010254, -0.193121, 1.010284,  --- 935.285
-0.015625, -0.192877, 1.017365,  --- 937.255
-0.007813, -0.190680, 1.015656,  --- 939.255
-0.015625, -0.193365, 1.011261,  --- 941.257
0.000000, -0.187262, 1.020294,  --- 943.322
-0.008301, -0.189215, 1.022248,  --- 944.963
-0.004151, -0.189947, 1.015167,  --- 946.696
-0.005615, -0.188238, 1.019074,  --- 948.692
-0.015625, -0.191656, 1.019318,  --- 950.692
-0.004639, -0.193853, 1.024689,  --- 952.692
-0.007569, -0.190680, 1.021515,  --- 954.692
-0.015625, -0.194342, 1.014923,  --- 956.692
-0.015625, -0.192877, 1.011505,  --- 957.692
-0.015625, -0.190680, 1.017853,  --- 959.691
-0.006836, -0.192633, 1.017120,  --- 961.691
-0.015625, -0.195074, 1.019074,  --- 963.691
-0.015625, -0.195074, 1.017365,  --- 965.693
-0.015625, -0.192389, 1.018830,  --- 966.692
-0.015625, -0.194342, 1.026398,  --- 968.692
-0.015625, -0.197272, 1.020539,  --- 970.693
-0.006836, -0.194830, 1.013702,  --- 972.692
-0.002197, -0.192144, 1.023713,  --- 974.692
-0.002197, -0.004151, 1.023713,  --- 976.692
-0.007813, -0.193365, 1.021271,  --- 978.692
-0.015625, -0.193121, 1.016876,  --- 980.691
-0.015625, -0.195807, 1.025422,  --- 982.695
-0.004395, -0.192144, 1.022248,  --- 984.692
-0.015625, -0.187994, 1.026154,  --- 986.691
-0.001465, -0.190435, 1.016144,  --- 988.695
-0.015625, -0.194830, 1.018341,  --- 990.692
-0.015625, -0.194342, 1.020050,  --- 991.691
-0.015625, -0.192389, 1.021515,  --- 993.691
-0.015625, -0.190680, 1.016144,  --- 995.692
-0.006836, -0.193365, 1.018830,  --- 997.691
-0.006592, -0.191656, 1.023957,  --- 999.693
-0.015625, -0.183355, 1.014191,  --- 1001.694
