accx;accy;accz;time
552;320;15940;50140
520;288;15836;50312
520;288;15836;50488
520;288;15836;50660
520;288;15836;50832
520;288;15836;51004
520;288;15836;51180
496;312;15852;51352
496;312;15852;51524
496;312;15852;51696
496;312;15852;51868
496;312;15852;52040
496;312;15852;52220
520;276;15880;52392
520;276;15880;52564
520;276;15880;52736
520;276;15880;52908
520;276;15880;53080
520;276;15880;53260
560;220;15908;53432
560;220;15908;53604
560;220;15908;53776
560;220;15908;53948
560;220;15908;54120
540;196;15892;54300
540;196;15892;54472
540;196;15892;54644
540;196;15892;54816
540;196;15892;54988
540;196;15892;55160
512;224;15832;55336
512;224;15832;55508
512;224;15832;55680
512;224;15832;55856
512;224;15832;56028
512;224;15832;56204
480;280;15816;56376
480;280;15816;56548
480;280;15816;56720
480;280;15816;56892
480;280;15816;57064
480;280;15816;57244
544;304;15812;57416
544;304;15812;57588
544;304;15812;57760
544;304;15812;57932
544;304;15812;58104
544;304;15812;58284
588;308;15848;58456
588;308;15848;58628
588;308;15848;58800
588;308;15848;58972
588;308;15848;59144
512;260;15908;59324
512;260;15908;59496
512;260;15908;59668
512;260;15908;59840
512;260;15908;60012
512;260;15908;60184
512;220;15848;60360
512;220;15848;60532
512;220;15848;60704
512;220;15848;60876
512;220;15848;61052
512;220;15848;61224
516;256;15800;61400
516;256;15800;61572
516;256;15800;61744
516;256;15800;61916
516;256;15800;62088
516;256;15800;62260
476;264;15832;62440
476;264;15832;62612
476;264;15832;62784
476;264;15832;62956
476;264;15832;63128
524;244;15820;63300
524;244;15820;63480
524;244;15820;63652
524;244;15820;63824
524;244;15820;63996
524;244;15820;64168
532;248;15852;64340
532;248;15852;64520
532;248;15852;64692
532;248;15852;64864
532;248;15852;65036
532;248;15852;65208
576;216;15832;65380
576;216;15832;20
576;216;15832;192
576;216;15832;364
576;216;15832;536
576;216;15832;712
616;256;15784;884
616;256;15784;1060
616;256;15784;1232
616;256;15784;1404
616;256;15784;1576
552;332;15872;1748
552;332;15872;1928
552;332;15872;2100
552;332;15872;2272
552;332;15872;2444
552;332;15872;2616
492;344;15940;2788
492;344;15940;2968
492;344;15940;3140
492;344;15940;3312
492;344;15940;3484
492;344;15940;3656
520;300;15908;3828
520;300;15908;4004
520;300;15908;4180
520;300;15908;4352
520;300;15908;4524
520;300;15908;4696
544;236;15856;4868
544;236;15856;5044
544;236;15856;5216
544;236;15856;5388
544;236;15856;5560
544;236;15856;5732
516;236;15872;5904
516;236;15872;6084
516;236;15872;6256
516;236;15872;6428
516;236;15872;6600
552;292;15920;6772
552;292;15920;6944
552;292;15920;7124
552;292;15920;7296
552;292;15920;7468
552;292;15920;7640
560;272;15940;7812
560;272;15940;7984
560;272;15940;8164
560;272;15940;8336
560;272;15940;8508
560;272;15940;8680
528;280;15900;8852
528;280;15900;9024
528;280;15900;9200
528;280;15900;9372
528;280;15900;9548
528;280;15900;9720
488;328;15788;9892
488;328;15788;10064
488;328;15788;10240
488;328;15788;10412
488;328;15788;10584
488;260;15836;10756
488;260;15836;10928
488;260;15836;11100
488;260;15836;11280
488;260;15836;11452
488;260;15836;11624
504;216;15932;11796
504;216;15932;11968
504;216;15932;12140
504;216;15932;12320
504;216;15932;12492
504;216;15932;12664
492;272;15948;12836
492;272;15948;13008
492;272;15948;13180
492;272;15948;13360
492;272;15948;13532
492;272;15948;13704
512;304;15944;13876
512;304;15944;14048
512;304;15944;14224
512;304;15944;14396
512;304;15944;14568
536;288;15924;14744
536;288;15924;14916
536;288;15924;15088
536;288;15924;15264
536;288;15924;15436
536;288;15924;15608
544;272;15916;15780
544;272;15916;15952
544;272;15916;16124
544;272;15916;16304
544;272;15916;16476
544;272;15916;16648
504;304;15908;16820
504;304;15908;16992
504;304;15908;17164
504;304;15908;17344
504;304;15908;17516
504;304;15908;17688
516;304;15876;17860
516;304;15876;18032
516;304;15876;18204
516;304;15876;18384
516;304;15876;18556
516;304;15876;18728
516;228;15900;18900
516;228;15900;19072
516;228;15900;19244
516;228;15900;19420
516;228;15900;19592
472;176;15932;19764
472;176;15932;19940
472;176;15932;20112
472;176;15932;20284
472;176;15932;20460
472;176;15932;20632
520;240;15904;20804
520;240;15904;20976
520;240;15904;21148
520;240;15904;21320
520;240;15904;21500
520;240;15904;21672
560;288;15860;21844
560;288;15860;22016
560;288;15860;22188
560;288;15860;22360
560;288;15860;22540
560;288;15860;22712
556;268;15800;22884
556;268;15800;23056
556;268;15800;23228
556;268;15800;23400
556;268;15800;23580
484;272;15804;23752
484;272;15804;23924
484;272;15804;24096
484;272;15804;24268
484;272;15804;24440
484;272;15804;24616
492;264;15880;24788
492;264;15880;24960
492;264;15880;25132
492;264;15880;25308
492;264;15880;25484
492;264;15880;25656
516;252;15924;25828
516;252;15924;26000
516;252;15924;26172
516;252;15924;26344
516;252;15924;26524
516;252;15924;26696
532;236;15908;26868
532;236;15908;27040
532;236;15908;27212
532;236;15908;27384
532;236;15908;27564
580;296;15900;27736
580;296;15900;27908
580;296;15900;28080
580;296;15900;28252
580;296;15900;28424
580;296;15900;28604
536;320;15840;28776
536;320;15840;28948
536;320;15840;29120
536;320;15840;29292
536;320;15840;29464
536;320;15840;29640
504;276;15816;29812
504;276;15816;29984
504;276;15816;30160
504;276;15816;30332
504;276;15816;30504
504;276;15816;30680
508;268;15840;30852
508;268;15840;31024
508;268;15840;31196
508;268;15840;31368
508;268;15840;31540
508;268;15840;31720
492;252;15828;31892
492;252;15828;32064
492;252;15828;32236
492;252;15828;32408
492;252;15828;32580
476;236;15868;32760
476;236;15868;32932
476;236;15868;33104
476;236;15868;33276
476;236;15868;33448
476;236;15868;33620
536;244;15892;33800
536;244;15892;33972
536;244;15892;34144
536;244;15892;34316
536;244;15892;34488
536;244;15892;34660
508;268;15844;34836
508;268;15844;35008
508;268;15844;35180
508;268;15844;35352
508;268;15844;35528
